"Player","Team","REC","YDS","TDS","FL","FPTS"
"Josh Cuevas","BAL","5.7","66.4","0.6","0.0","13.3"
"","high","8.0","97.0","1.0","0.0","12.8"
"","low","3.3","35.8","0.3","0.0","8.1"
"Hunter Long","JAC","5.0","45.0","1.0","0.0","13.0"
"","high","10.0","90.0","2.0","0.0","18.5"
"","low","0.0","0.0","0.0","0.0","2.5"
"Joe Royer","CLE","7.5","67.4","0.3","0.1","12.5"
"","high","7.5","67.4","0.3","0.1","12.5"
"","low","7.5","67.4","0.3","0.1","12.5"
"Lucas Krull","DEN","6.0","44.5","0.5","0.0","10.5"
"","high","12.0","89.0","1.0","0.0","13.0"
"","low","0.0","0.0","0.0","0.0","3.0"
"Cole Turner","MIA","4.5","44.0","0.5","0.0","9.7"
"","high","9.0","88.0","1.0","0.0","12.3"
"","low","0.0","0.0","0.0","0.0","2.3"
"Luke Farrell","SF","4.2","40.7","0.3","0.0","7.8"
"","high","4.2","40.7","0.3","0.0","7.9"
"","low","4.2","40.7","0.3","0.0","7.9"
"Brevyn Spann-Ford","DAL","3.9","36.7","0.3","0.0","7.5"
"","high","3.9","36.7","0.3","0.0","7.5"
"","low","3.9","36.7","0.3","0.0","7.5"
"Tanner Koziol","JAC","3.9","36.7","0.3","0.0","7.2"
"","high","3.9","36.7","0.3","0.0","7.3"
"","low","3.9","36.7","0.3","0.0","7.3"
"CJ Dippre","NE","3.9","37.3","0.3","0.0","7.2"
"","high","3.9","37.3","0.3","0.0","7.3"
"","low","3.9","37.3","0.3","0.0","7.3"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","7.2"
"","high","3.7","36.1","0.3","0.0","7.3"
"","low","3.7","36.1","0.3","0.0","7.3"
"Tyler Conklin","DET","3.7","37.9","0.3","0.0","7.1"
"","high","3.7","37.9","0.3","0.0","7.1"
"","low","3.7","37.9","0.3","0.0","7.1"
"Drew Ogletree","IND","3.6","36.3","0.3","0.0","7.0"
"","high","3.6","36.3","0.3","0.0","7.0"
"","low","3.6","36.3","0.3","0.0","7.0"
"Josh Whyle","GB","3.6","33.0","0.3","0.0","7.0"
"","high","3.6","33.0","0.3","0.0","7.0"
"","low","3.6","33.0","0.3","0.0","7.0"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","6.9"
"","high","3.4","34.4","0.3","0.0","6.9"
"","low","3.4","34.4","0.3","0.0","6.9"
"Sam Roush","CHI","3.7","33.8","0.3","0.0","6.8"
"","high","3.7","33.8","0.3","0.0","6.9"
"","low","3.7","33.8","0.3","0.0","6.9"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","6.5"
"","high","3.5","35.4","0.2","0.0","6.5"
"","low","3.5","35.4","0.2","0.0","6.5"
"Ian Thomas","LV","3.8","36.0","0.2","0.0","6.4"
"","high","3.8","36.0","0.2","0.0","6.4"
"","low","3.8","36.0","0.2","0.0","6.4"
"Chris Manhertz","NYG","1.8","16.3","0.1","0.0","3.2"
"","high","1.8","16.3","0.1","0.0","3.2"
"","low","1.8","16.3","0.1","0.0","3.2"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
""
""
