"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","low","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","7.0"
"Nick Mullens","JAC","18.8","13.2","140.7","1.1","0.4","3.1","3.7","0.0","0.1","9.8"
"","high","23.7","15.4","179.5","1.1","0.0","5.0","4.0","0.0","0.0","10.3"
"","low","14.0","11.0","102.0","1.0","0.9","1.1","3.4","0.0","0.2","8.0"
"Chris Oladokun","KC","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","9.7"
"","high","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","7.0"
"","low","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","7.0"
"Gardner Minshew II","ARI","22.9","14.3","147.8","0.8","0.3","2.4","9.3","0.0","0.1","9.7"
"","high","24.0","15.0","154.0","1.0","0.0","4.0","16.0","0.0","0.0","8.0"
"","low","21.7","13.6","141.6","0.6","0.6","0.9","2.6","0.0","0.2","7.2"
"Behren Morton","NE","15.0","10.0","118.0","1.0","0.0","2.0","9.0","0.0","0.0","9.6"
"","high","15.0","10.0","118.0","1.0","0.0","2.0","9.0","0.0","0.0","8.0"
"","low","15.0","10.0","118.0","1.0","0.0","2.0","9.0","0.0","0.0","8.0"
"Cade Klubnik","NYJ","20.6","13.0","136.8","0.9","0.6","1.8","8.2","0.0","0.1","9.4"
"","high","25.0","16.0","177.0","1.0","0.0","2.0","9.0","0.1","0.0","12.0"
"","low","15.0","10.0","90.0","0.8","1.0","1.5","6.7","0.0","0.2","7.0"
"Drew Allar","PIT","19.5","12.5","130.7","0.9","0.3","1.6","6.8","0.0","0.1","9.4"
"","high","23.0","14.9","160.3","1.0","0.0","2.0","8.0","0.1","0.0","9.5"
"","low","16.0","10.0","101.0","0.9","0.5","1.3","5.7","0.0","0.2","7.0"
"Adrian Martinez","SF","16.0","11.0","115.0","1.0","0.0","3.0","7.0","0.0","0.0","9.3"
"","high","16.0","11.0","115.0","1.0","0.0","3.0","7.0","0.0","0.0","8.0"
"","low","16.0","11.0","115.0","1.0","0.0","3.0","7.0","0.0","0.0","8.0"
"Garrett Nussmeier","KC","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","9.2"
"","high","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","8.0"
"","low","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","8.0"
"Cole Payton","PHI","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"","high","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","8.0"
"","low","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","8.0"
"Jalen Milroe","SEA","11.0","7.0","90.0","1.0","0.0","5.0","15.0","0.0","0.0","9.1"
"","high","11.0","7.0","90.0","1.0","0.0","5.0","15.0","0.0","0.0","7.0"
"","low","11.0","7.0","90.0","1.0","0.0","5.0","15.0","0.0","0.0","7.0"
"Kyle Allen","BUF","21.0","12.4","138.4","1.0","0.6","2.0","3.6","0.0","0.1","9.1"
"","high","26.0","16.0","181.0","1.0","0.0","3.0","6.0","0.0","0.0","11.8"
"","low","15.0","8.0","96.0","0.9","1.0","1.1","2.0","0.0","0.2","7.0"
"Mitchell Trubisky","TEN","23.3","13.5","138.6","0.8","0.4","2.6","4.8","0.0","0.1","9.0"
"","high","23.6","15.0","154.2","1.0","0.0","4.0","7.0","0.1","0.0","8.0"
"","low","23.0","12.0","123.0","0.7","0.7","1.1","2.5","0.0","0.1","7.8"
"Joe Milton III","DAL","16.3","10.3","119.3","0.7","0.3","3.0","14.3","0.0","0.0","8.5"
"","high","25.0","16.0","181.0","1.0","0.0","5.0","22.0","0.0","0.0","13.3"
"","low","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Will Howard","PIT","14.0","8.7","95.7","0.7","0.3","1.3","5.0","0.0","0.0","6.7"
"","high","26.0","16.0","186.0","1.0","0.0","2.0","8.0","0.0","0.0","12.1"
"","low","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Mason Rudolph","PIT","10.5","6.5","67.5","0.5","0.0","2.0","8.5","0.0","0.0","5.6"
"","high","21.0","13.0","135.0","1.0","0.0","4.0","17.0","0.0","0.0","9.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Cook","NYJ","10.0","6.5","60.0","0.5","0.5","2.0","10.5","0.0","0.0","5.0"
"","high","20.0","13.0","120.0","1.0","0.0","4.0","21.0","0.0","0.0","7.0"
"","low","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
