"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","33.9","420.3","1.7","0.0","0.0","0.0","0.3","68.7"
"Ted Hurst III","TB","29.4","389.9","2.6","1.0","6.5","0.0","0.6","68.5"
"","high","36.0","485.0","3.0","2.0","13.0","0.0","0.2","69.7"
"","low","22.8","294.7","2.1","0.0","0.0","0.0","1.0","56.9"
"Malik Benson","LV","33.7","401.2","1.9","1.0","4.0","0.0","0.6","67.6"
"","high","48.0","558.0","3.0","2.0","8.0","0.0","0.2","79.9"
"","low","19.4","244.4","0.8","0.0","0.0","0.0","1.0","45.8"
"Hollywood Brown","PHI","28.2","349.4","3.0","0.0","0.0","0.0","0.1","67.0"
"","high","44.0","545.0","5.0","0.0","0.0","0.0","0.0","91.1"
"","low","12.4","153.8","1.0","0.0","0.0","0.0","0.1","35.4"
"Elic Ayomanor","TEN","25.4","342.8","3.3","0.0","0.0","0.0","0.0","66.8"
"","high","42.0","570.0","6.0","0.0","0.0","0.0","0.0","97.7"
"","low","8.8","115.6","0.6","0.0","0.0","0.0","0.1","27.8"
"Andrei Iosivas","CIN","27.8","352.4","2.6","2.5","11.0","0.0","0.1","65.6"
"","high","35.0","470.0","3.0","3.0","11.1","0.1","0.0","69.9"
"","low","20.5","234.8","2.1","2.0","11.0","0.0","0.2","51.5"
"Chimere Dike","TEN","27.8","271.6","3.4","10.1","33.7","0.3","0.6","65.3"
"","high","45.0","431.0","6.0","10.2","50.3","0.6","0.2","83.9"
"","low","10.6","112.2","0.8","10.0","17.0","0.0","1.0","42.7"
"Zachariah Branch","ATL","31.4","381.7","1.9","0.0","0.0","0.0","0.3","64.6"
"","high","31.4","381.7","1.9","0.0","0.0","0.0","0.3","66.8"
"","low","31.4","381.7","1.9","0.0","0.0","0.0","0.3","66.8"
"Keon Coleman","BUF","24.4","337.7","2.8","0.0","0.0","0.0","0.2","62.4"
"","high","24.4","337.7","2.8","0.0","0.0","0.0","0.2","63.2"
"","low","24.4","337.7","2.8","0.0","0.0","0.0","0.2","63.2"
"Pat Bryant","DEN","28.4","320.5","2.1","0.0","0.0","0.0","0.3","58.4"
"","high","28.4","320.5","2.1","0.0","0.0","0.0","0.3","58.6"
"","low","28.4","320.5","2.1","0.0","0.0","0.0","0.3","58.6"
"Joshua Palmer","BUF","25.9","342.7","1.6","0.0","0.0","0.0","0.1","56.8"
"","high","35.0","480.0","2.0","0.0","0.0","0.0","0.0","64.0"
"","low","16.9","205.4","1.2","0.0","0.0","0.0","0.2","40.9"
"Ashton Dulin","IND","17.5","338.3","1.3","5.1","46.1","0.1","0.1","55.3"
"","high","25.0","551.0","2.0","6.0","66.0","0.2","0.0","69.8"
"","low","10.0","125.5","0.6","4.2","26.3","0.0","0.1","28.6"
"Marvin Mims Jr.","DEN","24.1","273.1","1.6","8.2","45.2","0.3","0.4","54.8"
"","high","24.1","273.1","1.6","8.2","45.2","0.3","0.4","57.9"
"","low","24.1","273.1","1.6","8.2","45.2","0.3","0.4","57.9"
"KaVontae Turpin","DAL","18.1","229.5","1.7","17.8","103.2","0.4","0.4","54.5"
"","high","18.1","229.5","1.7","17.8","103.2","0.4","0.4","57.7"
"","low","18.1","229.5","1.7","17.8","103.2","0.4","0.4","57.7"
"Olamide Zaccheaus","ATL","30.1","276.7","1.8","1.5","9.5","0.0","0.1","54.4"
"","high","46.0","411.0","3.0","3.0","19.0","0.0","0.0","67.1"
"","low","14.3","142.3","0.6","0.0","0.0","0.0","0.2","33.1"
"Darnell Mooney","NYG","21.4","309.0","1.7","2.2","11.9","0.1","0.2","52.9"
"","high","21.4","309.0","1.7","2.2","11.9","0.1","0.2","53.0"
"","low","21.4","309.0","1.7","2.2","11.9","0.1","0.2","53.0"
"Jack Bech","LV","27.7","315.0","1.2","0.0","0.0","0.0","0.3","52.0"
"","high","27.7","315.0","1.2","0.0","0.0","0.0","0.3","52.1"
"","low","27.7","315.0","1.2","0.0","0.0","0.0","0.3","52.1"
"DeMario Douglas","NE","22.7","270.9","1.5","4.1","21.4","0.2","0.3","50.0"
"","high","22.7","270.9","1.5","4.1","21.4","0.2","0.3","50.1"
"","low","22.7","270.9","1.5","4.1","21.4","0.2","0.3","50.1"
"Savion Williams","GB","20.5","230.8","1.7","9.0","46.9","0.3","0.3","49.5"
"","high","20.5","230.8","1.7","9.0","46.9","0.3","0.3","50.4"
